mL,CV,Channel,Fraction,Sample,Normalization,Value
0.683031,0.028459625,mAU,1,Exp130_SEC,Signal,-2.217869
0.685943,0.0285809583333333,mAU,1,Exp130_SEC,Signal,-2.222748
0.688854,0.02870225,mAU,1,Exp130_SEC,Signal,-2.226965
0.691766,0.0288235833333333,mAU,1,Exp130_SEC,Signal,-2.235315
0.694677,0.028944875,mAU,1,Exp130_SEC,Signal,-2.240818
0.697589,0.0290662083333333,mAU,1,Exp130_SEC,Signal,-2.244825
0.7005,0.0291875,mAU,1,Exp130_SEC,Signal,-2.248568
0.703412,0.0293088333333333,mAU,1,Exp130_SEC,Signal,-2.252453
0.706324,0.0294301666666666,mAU,1,Exp130_SEC,Signal,-2.256551
0.709235,0.0295514583333333,mAU,1,Exp130_SEC,Signal,-2.260359
0.712147,0.0296727916666666,mAU,1,Exp130_SEC,Signal,-2.26538
0.715058,0.0297940833333333,mAU,1,Exp130_SEC,Signal,-2.271721
0.71797,0.0299154166666666,mAU,1,Exp130_SEC,Signal,-2.276728
0.720881,0.0300367083333333,mAU,1,Exp130_SEC,Signal,-2.281352
0.723793,0.0301580416666666,mAU,1,Exp130_SEC,Signal,-2.286841
0.726704,0.0302793333333333,mAU,1,Exp130_SEC,Signal,-2.293244
0.729616,0.0304006666666666,mAU,1,Exp130_SEC,Signal,-2.299762
0.732527,0.0305219583333333,mAU,1,Exp130_SEC,Signal,-2.306218
0.735439,0.0306432916666666,mAU,1,Exp130_SEC,Signal,-2.311772
0.738351,0.030764625,mAU,1,Exp130_SEC,Signal,-2.318306
0.741262,0.0308859166666666,mAU,1,Exp130_SEC,Signal,-2.325158
0.744174,0.03100725,mAU,1,Exp130_SEC,Signal,-2.331369
0.747085,0.0311285416666666,mAU,1,Exp130_SEC,Signal,-2.337465
0.749997,0.031249875,mAU,1,Exp130_SEC,Signal,-2.343469
0.752908,0.0313711666666666,mAU,1,Exp130_SEC,Signal,-2.348114
0.75582,0.0314925,mAU,1,Exp130_SEC,Signal,-2.353291
0.758731,0.0316137916666666,mAU,1,Exp130_SEC,Signal,-2.359335
0.761643,0.0317351249999999,mAU,1,Exp130_SEC,Signal,-2.366121
0.764555,0.0318564583333333,mAU,1,Exp130_SEC,Signal,-2.373214
